api	method	path	tag	operation_id	deprecated	pagination	sorting	action	fingerprint
hetzner	DELETE	/storage_boxes/{id}	Storage Boxes	delete_storage_box	no	no	no	none	7e8a7afebd12971fe59f00b24f5646c7287ea14efbc68ad3ef0c36a457a48dc2
hetzner	GET	/storage_boxes/{id}	Storage Boxes	get_storage_box	no	no	no	none	ea850199c0a9141b44a1db64757e1c883ad44d3138f11d1bf1bc5524f323a2cb
hetzner	PUT	/storage_boxes/{id}	Storage Boxes	update_storage_box	no	no	no	none	ce51a498dcab1ca332ffab254aa022e8868247c94ed60a25ae0a7f7b612df8e9
hetzner	GET	/storage_boxes/{id}/actions	Storage Box Actions	list_storage_box_actions	no	yes	yes	action-list	b26a3c25c64b525e5f354c77c7b87788bf6a2036fb1fd7bb51451f7251c44ab7
hetzner	POST	/storage_boxes/{id}/actions/change_protection	Storage Box Actions	change_storage_box_protection	no	no	no	starts-action	d97c2cdf67a8447b19d9bec756bf8caa6eb557b88042a5d84717eb42fc224647
hetzner	POST	/storage_boxes/{id}/actions/change_type	Storage Box Actions	change_storage_box_type	no	no	no	starts-action	1f90484a2e937d5f904f2f0d4f714ee61a598d635a53d0ed74e1bff774ebba87
hetzner	POST	/storage_boxes/{id}/actions/disable_snapshot_plan	Storage Box Actions	disable_storage_box_snapshot_plan	no	no	no	starts-action	26a9311d4188d10302568c3ca815b145ae9d493e6772f769bed1c8ef0e8e5c86
hetzner	POST	/storage_boxes/{id}/actions/enable_snapshot_plan	Storage Box Actions	enable_storage_box_snapshot_plan	no	no	no	starts-action	bddd1db323392a8a353aa95be7173d053485a0a098fce1e56a66b369584fee7e
hetzner	POST	/storage_boxes/{id}/actions/reset_password	Storage Box Actions	reset_storage_box_password	no	no	no	starts-action	2aa4d3403ad674aa9fe8b12607fa016a4498c42fb075f6dce8427434c63ce3d2
hetzner	POST	/storage_boxes/{id}/actions/rollback_snapshot	Storage Box Actions	rollback_storage_box_snapshot	no	no	no	starts-action	cb800cfe9f60ef4d4e18d9afa64bdb128d1a52d357e4e6683b93bdd19f6d4cc6
hetzner	POST	/storage_boxes/{id}/actions/update_access_settings	Storage Box Actions	update_storage_box_access_settings	no	no	no	starts-action	59f4fdc24ce88ff91930335854d5f9e224902cd57b59593dc4ae60bbe325959b
hetzner	GET	/storage_boxes/{id}/actions/{action_id}	Storage Box Actions	get_storage_box_action	yes	no	no	resource-action-get	22ff43f9e37af78eb5a5c0d257e253810fd70f3762efb9d6d65c6d34dfbfc81f
hetzner	GET	/storage_boxes/{id}/folders	Storage Boxes	list_storage_box_folders	no	no	no	none	10c3a92844ee9ea5a3d8a7da9937a9633da6d983526d3eea9046bcf80779e37a
hetzner	GET	/storage_boxes/{id}/snapshots	Storage Box Snapshots	list_storage_box_snapshots	no	no	yes	none	aea2b4b691a04e33d285cdd0b845dbc0c6bb7d0fd914e8360b41aa4d1b914083
hetzner	POST	/storage_boxes/{id}/snapshots	Storage Box Snapshots	create_storage_box_snapshot	no	no	no	none	7fcee5688a9d2cee501db98db26eeaf0ca5d8b2097ad6c51e2808bece0425581
hetzner	DELETE	/storage_boxes/{id}/snapshots/{snapshot_id}	Storage Box Snapshots	delete_storage_box_snapshot	no	no	no	none	cd0ee5b16aa0750edeb0bf43bae08966b5f17566de0edddbd08215913889cbaf
hetzner	GET	/storage_boxes/{id}/snapshots/{snapshot_id}	Storage Box Snapshots	get_storage_box_snapshot	no	no	no	none	d912aae57ae9c0747d1e8e1558622273f36f6896e41d255336bbf87768210977
hetzner	PUT	/storage_boxes/{id}/snapshots/{snapshot_id}	Storage Box Snapshots	update_storage_box_snapshot	no	no	no	none	4a4b7e47bfadb463c5a9dd80b5dedfca41246bc737a886afef4b62874bbe84cd
hetzner	GET	/storage_boxes/{id}/subaccounts	Storage Box Subaccounts	list_storage_box_subaccounts	no	no	yes	none	90beddd50e744e2cf3e4654f2ae26074d9126c5090d7ba42138b67c0a813b0e7
hetzner	POST	/storage_boxes/{id}/subaccounts	Storage Box Subaccounts	create_storage_box_subaccount	no	no	no	none	1cc9c9e4d599378abe66b60171a217920d3714fcef382ea884939c431e4ddbb9
hetzner	DELETE	/storage_boxes/{id}/subaccounts/{subaccount_id}	Storage Box Subaccounts	delete_storage_box_subaccount	no	no	no	none	f41cacccc351aeced72647e52eca20a75fdc87f51196d73ca827fea098d78230
hetzner	GET	/storage_boxes/{id}/subaccounts/{subaccount_id}	Storage Box Subaccounts	get_storage_box_subaccount	no	no	no	none	0d0b5fb34d8c2246094829f3fa0af0d0539d2d5d2bdec319d89cd3e81bfd8fa0
hetzner	PUT	/storage_boxes/{id}/subaccounts/{subaccount_id}	Storage Box Subaccounts	update_storage_box_subaccount	no	no	no	none	173f981bf56438496d326a68c09c8f7b777feb3991d505482e9bbd88fe906d16
hetzner	POST	/storage_boxes/{id}/subaccounts/{subaccount_id}/actions/change_home_directory	Storage Box Subaccount Actions	change_storage_box_subaccount_home_directory	no	no	no	starts-action	0b7e7b679f965f625b04bb8f5e12cc5f3e5fc60f4243115772f3d882dfcb6058
hetzner	POST	/storage_boxes/{id}/subaccounts/{subaccount_id}/actions/reset_subaccount_password	Storage Box Subaccount Actions	reset_storage_box_subaccount_password	no	no	no	starts-action	4d5cf5039f9dd199c14487cb87c3b75652132d05eee8a01fd333605890a7b166
hetzner	POST	/storage_boxes/{id}/subaccounts/{subaccount_id}/actions/update_access_settings	Storage Box Subaccount Actions	update_storage_box_subaccount_access_settings	no	no	no	starts-action	d9e9fb53b93d6c1cff5f5021f0b112da597dcaa5b0aafd265acbe474e7f90346
