operation_id	api	service	method	path	endpoint_policy	authentication	authentication_scope	query_policy	body_policy	request_headers	request_media	success_status	success_shape	success_root	success_required	success_body	success_media	success_body_max_bytes	error_body	error_media	error_body_max_bytes	pagination	quota	retry	streaming	permit_class	response_identity
change_zone_rrset_ttl	cloud	dns	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/change_ttl	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
change_zone_ttl	cloud	dns	POST	/zones/{id_or_name}/actions/change_ttl	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_certificate	cloud	security	POST	/certificates	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	certificate	certificate	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_firewall	cloud	cloud	POST	/firewalls	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	firewall	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_floating_ip	cloud	cloud	POST	/floating_ips	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	floating_ip	floating_ip	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
create_load_balancer	cloud	cloud	POST	/load_balancers	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	load_balancer	action,load_balancer	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
create_network	cloud	cloud	POST	/networks	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	resource	network	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_placement_group	cloud	cloud	POST	/placement_groups	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	placement_group	placement_group	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_primary_ip	cloud	cloud	POST	/primary_ips	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	primary_ip	primary_ip	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
create_server	cloud	cloud	POST	/servers	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	server	action,next_actions,root_password,server	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
